name,selling_price
Ambassador,124666.66666666667
Audi,2647078.8947368423
BMW,4173398.0582524273
Chevrolet,272919.2205882353
Daewoo,77000.0
Datsun,320624.9464285714
Fiat,295833.28571428574
Force,887500.0
Ford,495053.06194690266
Honda,596428.5470297029
Hyundai,459495.783625731
Isuzu,1942000.0
Jaguar,2915360.655737705
Jeep,2120607.1071428573
Kia,1504500.0
Land,3608333.3333333335
Lexus,5150000.0
MG,1783333.3333333333
Mahindra,623292.7567567568
Maruti,404802.64769520226
Mercedes-Benz,2366408.163265306
Mitsubishi,815500.0
Nissan,471042.8142857143
Peugeot,57000.0
Renault,462096.9081632653
Skoda,548499.9555555555
Tata,362048.1292962357
Toyota,944739.3943661972
Volkswagen,500299.38323353295
Volvo,3277727.272727273
